OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Shape_Area,Area_km2,Area_km2geodesic
209,Cx,58,0,siteSC-9A,Y,258694.6456,536.5641437,3610.6383,0.003610638,0.00361255
210,Cx,59,0,siteSCoutlet170710,Y,263523.1099,536.5641437,3610.6383,0.003610638,0.00361255
211,Cx,60,0,siteSCoutlet170807,Y,267972.9067,536.5641437,3610.6383,0.003610638,0.00361255
212,MhMrMm,58,0,siteSC-9A,Y,258694.6456,536.5641437,3610.6383,0.003610638,0.00361255
213,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,536.5641437,3610.6383,0.003610638,0.00361255
214,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,536.5641437,3610.6383,0.003610638,0.00361255
215,MpMbMpv,55,0,site12-1,Y,3831.035085,3230.02854,189324.987,0.189324987,0.189471262
216,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,3230.02854,189324.987,0.189324987,0.189471262
217,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,3230.02854,189324.987,0.189324987,0.189471262
218,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,3230.02854,189324.987,0.189324987,0.189471262
219,MpMbMpv,56,0,SC-8B,Y,237453.753,4792.293138,737129.3338,0.737129334,0.737722538
220,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,4792.293138,737129.3338,0.737129334,0.737722538
221,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,4792.293138,737129.3338,0.737129334,0.737722538
222,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,4792.293138,737129.3338,0.737129334,0.737722538
223,Cx,41,0,S2UPTS4160617,Y,21949.53018,2643.649437,259611.1735,0.259611174,0.259814827
224,Cx,43,0,S2DNTS5160617,Y,24551.93494,2643.649437,259611.1735,0.259611174,0.259814827
225,Cx,44,0,S3UPTS6160730,Y,25887.85677,2643.649437,259611.1735,0.259611174,0.259814827
226,Cx,46,0,S3DNTS7160730,Y,39206.58459,2643.649437,259611.1735,0.259611174,0.259814827
227,Cx,42,0,S2INTSINFLOW2160617,Y,21209.24344,4676.26606,621878.6216,0.621878622,0.62232797
228,Cx,43,0,S2DNTS5160617,Y,24551.93494,4676.26606,621878.6216,0.621878622,0.62232797
229,Cx,44,0,S3UPTS6160730,Y,25887.85677,4676.26606,621878.6216,0.621878622,0.62232797
230,Cx,46,0,S3DNTS7160730,Y,39206.58459,4676.26606,621878.6216,0.621878622,0.62232797
