OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Area_km2,Area_km2geodesic
163,Cx,44,0,S3UPTS6160730,Y,25887.85677,2643.64933,0.259611178,0.259814831
164,Cx,46,0,S3DNTS7160730,Y,39206.58459,2643.64933,0.259611178,0.259814831
165,MpMbMpv,41,0,S2UPTS4160617,Y,21949.53018,5930.183873,0.648818037,0.649324702
166,MpMbMpv,43,0,S2DNTS5160617,Y,24551.93494,5930.183873,0.648818037,0.649324702
167,MpMbMpv,44,0,S3UPTS6160730,Y,25887.85677,5930.183873,0.648818037,0.649324702
168,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,5930.183873,0.648818037,0.649324702
169,R/Cv,42,0,S2INTSINFLOW2160617,Y,21209.24344,1936.045309,0.186687124,0.18682765
170,R/Cv,43,0,S2DNTS5160617,Y,24551.93494,1936.045309,0.186687124,0.18682765
171,R/Cv,44,0,S3UPTS6160730,Y,25887.85677,1936.045309,0.186687124,0.18682765
172,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,1936.045309,0.186687124,0.18682765
173,R/Cv,42,0,S2INTSINFLOW2160617,Y,21209.24344,1672.047152,0.086254831,0.086319245
174,R/Cv,43,0,S2DNTS5160617,Y,24551.93494,1672.047152,0.086254831,0.086319245
175,R/Cv,44,0,S3UPTS6160730,Y,25887.85677,1672.047152,0.086254831,0.086319245
176,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,1672.047152,0.086254831,0.086319245
177,Cx,42,0,S2INTSINFLOW2160617,Y,21209.24344,4676.266371,0.621878623,0.62232797
178,Cx,43,0,S2DNTS5160617,Y,24551.93494,4676.266371,0.621878623,0.62232797
179,Cx,44,0,S3UPTS6160730,Y,25887.85677,4676.266371,0.621878623,0.62232797
180,Cx,46,0,S3DNTS7160730,Y,39206.58459,4676.266371,0.621878623,0.62232797
181,Cx,42,0,S2INTSINFLOW2160617,Y,21209.24344,3598.231973,0.450885265,0.451211552
182,Cx,43,0,S2DNTS5160617,Y,24551.93494,3598.231973,0.450885265,0.451211552
183,Cx,44,0,S3UPTS6160730,Y,25887.85677,3598.231973,0.450885265,0.451211552
184,Cx,46,0,S3DNTS7160730,Y,39206.58459,3598.231973,0.450885265,0.451211552
185,MpMbMpv,42,0,S2INTSINFLOW2160617,Y,21209.24344,23269.63204,6.67442558,6.679815119
186,MpMbMpv,43,0,S2DNTS5160617,Y,24551.93494,23269.63204,6.67442558,6.679815119
187,MpMbMpv,44,0,S3UPTS6160730,Y,25887.85677,23269.63204,6.67442558,6.679815119
188,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,23269.63204,6.67442558,6.679815119
189,R/Cv,42,0,S2INTSINFLOW2160617,Y,21209.24344,5386.774703,0.951712762,0.952464369
190,R/Cv,43,0,S2DNTS5160617,Y,24551.93494,5386.774703,0.951712762,0.952464369
191,R/Cv,44,0,S3UPTS6160730,Y,25887.85677,5386.774703,0.951712762,0.952464369
192,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,5386.774703,0.951712762,0.952464369
193,MhMrMm,55,0,site12-1,Y,3831.035085,1069.740096,0.022279988,0.022299656
194,MhMrMm,58,0,siteSC-9A,Y,258694.6456,1069.740096,0.022279988,0.022299656
195,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,1069.740096,0.022279988,0.022299656
196,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,1069.740096,0.022279988,0.022299656
197,MpMbMpv,55,0,site12-1,Y,3831.035085,3230.02851,0.189324991,0.189471266
198,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,3230.02851,0.189324991,0.189471266
199,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,3230.02851,0.189324991,0.189471266
200,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,3230.02851,0.189324991,0.189471266
201,MpMbMpv,56,0,SC-8B,Y,237453.753,20899.49607,6.351904472,6.356773846
202,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,20899.49607,6.351904472,6.356773846
203,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,20899.49607,6.351904472,6.356773846
204,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,20899.49607,6.351904472,6.356773846
205,Cx,56,0,SC-8B,Y,237453.753,27823.46277,10.43424928,10.44267557
206,Cx,58,0,siteSC-9A,Y,258694.6456,27823.46277,10.43424928,10.44267557
207,Cx,59,0,siteSCoutlet170710,Y,263523.1099,27823.46277,10.43424928,10.44267557
208,Cx,60,0,siteSCoutlet170807,Y,267972.9067,27823.46277,10.43424928,10.44267557
209,MhMrMm,56,0,SC-8B,Y,237453.753,15454.80603,5.423917859,5.428307997
210,MhMrMm,58,0,siteSC-9A,Y,258694.6456,15454.80603,5.423917859,5.428307997
211,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,15454.80603,5.423917859,5.428307997
212,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,15454.80603,5.423917859,5.428307997
213,MpMbMpv,56,0,SC-8B,Y,237453.753,4792.293141,0.737129319,0.737722523
214,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,4792.293141,0.737129319,0.737722523
215,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,4792.293141,0.737129319,0.737722523
216,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,4792.293141,0.737129319,0.737722523
217,MpMbMpv,57,0,site14,Y,48819.29437,18239.10007,3.365090619,3.367761574
218,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,18239.10007,3.365090619,3.367761574
219,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,18239.10007,3.365090619,3.367761574
220,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,18239.10007,3.365090619,3.367761574
221,MpMbMpv,57,0,site14,Y,48819.29437,15969.7065,3.182028648,3.184510313
222,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,15969.7065,3.182028648,3.184510313
223,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,15969.7065,3.182028648,3.184510313
224,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,15969.7065,3.182028648,3.184510313
225,Cx,57,0,site14,Y,48819.29437,18879.30211,2.580490613,2.582599981
226,Cx,58,0,siteSC-9A,Y,258694.6456,18879.30211,2.580490613,2.582599981
227,Cx,59,0,siteSCoutlet170710,Y,263523.1099,18879.30211,2.580490613,2.582599981
228,Cx,60,0,siteSCoutlet170807,Y,267972.9067,18879.30211,2.580490613,2.582599981
