OID_,FID_canlc2015_nolakes_nad83zn8_clipsite10revised,FID_CAN_LC_2015_CAL_Clip_Projectnad83utm8_poly,Id,gridcode,FID_NHN_Lakes_Project_nad83zn8_SS2017update,nid,validityDate,acquisitionTechnique,datasetName,planimetricAccuracy,provider,completelyCover,waterDefinition,isolated,permanency,geographicalNameDB,lakeId1,lakeId2,riverId1,riverId2,lakeName1,lakeName2,riverName1,riverName2,idDate,nameDate,waterDefinitionText,ModifiedbySarah,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
731,730,56256,56256,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,239.999999996274710,2699.999999944120646
732,731,56257,56257,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000000000000,900.000000000000000
733,732,56258,56258,10,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,839.999999990686774,18899.999999748542905
734,733,56259,56259,1,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,1799.999999986961484,72000.000000223517418
735,734,56260,56260,10,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,420.000000018626451,6300.000000391155481
736,735,56261,56261,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000000000000,900.000000000000000
737,736,56313,56313,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999998137355,899.999999972060323
738,737,56314,56314,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,479.999999994412065,6299.999999804422259
739,738,56315,56315,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999998137355,899.999999972060323
740,739,56316,56316,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999996274710,899.999999944120646
741,740,56317,56317,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,5459.999999934807420,206100.000000670552254
742,741,56318,56318,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000000000000,900.000000000000000
743,742,56319,56319,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,4799.999999964609742,163800.000001173466444
744,743,56320,56320,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,480.000000005587935,6299.999999804422259
745,744,56321,56321,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,780.000000001862645,13500.000000391155481
746,745,56356,56356,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999998137355,899.999999972060323
747,746,56357,56357,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999985098839,899.999999776482582
748,747,56358,56358,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,360.000000001862645,6300.000000027939677
749,748,56359,56359,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,359.999999994412065,5399.999999664723873
750,749,56360,56360,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,600.000000000000000,9899.999999832361937
751,750,56361,56361,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,239.999999986961484,2699.999999748542905
752,751,56362,56362,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,359.999999996274710,5399.999999692663550
753,752,56403,56403,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999998137355,899.999999972060323
754,753,56404,56404,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,719.999999986961484,14399.999999608844519
755,754,56405,56405,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,179.999999996274710,1799.999999832361937
