OID_,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
100,106,106,0,0.000000000000000,100008,1,0,0,1,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,628.208836933808016,18995.753718129129993
101,107,107,0,0.000000000000000,100009,1,0,0,1,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,565.988009515736621,15824.544418338200558
102,108,108,0,0.000000000000000,100010,0,0,0,0,0," Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15 - note wasn't there but Sarah assumed Scott forgot to add the note",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1345.195448887783641,36788.028056216149707
103,109,109,0,0.000000000000000,100011,0,0,0,0,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15 - note wasn't there but Sarah assumed Scott forgot to add the note",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,2671.268563901041489,187853.413725151360268
104,110,111,,,200002,,,,,,Added by Sarah for non Stony slumps based on Sentinel 2017 imagery 2017-06-30,,,,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,295.637899480152612,3829.053035581812310
105,111,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,1,179,965.588325966999946,107,1,1,0,1,0, ,1,2,-1,0,1899-12-30 0:00:00,965.588325962484987,36362.147907138722076
106,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,95812.189193094993243,105088407.674976259469986
107,63,63,170,288.001327385000025,101,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,288.001327378376857,4592.857118672023716
108,64,64,171,817.271048936000057,102,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,817.271048958651136,26002.778209333722771
109,65,65,174,299.882333309999979,105,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,299.882333308042746,2931.006657397078470
110,66,66,178,801.285367873000041,106,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,801.285367875912812,23019.267370668567310
111,75,75,257,502.698585341000012,164,1,2,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,502.698585326331170,12600.614449714301372
112,87,87,295,9141.977388190000056,191,1,1,1,1,0, ,1,1,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,8718.308330516458227,485577.154344703420065
113,91,91,322,687.454495725000015,211,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,687.454495728898451,12454.974905093036796
